t(s)	h(m)	v(m/s)	Vw(m³)	F(N)
0.0000	0.0000	0.0000	0.000500	40.14
0.0050	0.0007	0.2807	0.000490	38.48
0.0101	0.0028	0.5591	0.000480	36.90
0.0153	0.0065	0.8352	0.000470	35.39
0.0206	0.0117	1.1091	0.000460	33.95
0.0260	0.0184	1.3810	0.000450	32.57
0.0316	0.0268	1.6510	0.000440	31.24
0.0372	0.0369	1.9192	0.000430	29.98
0.0430	0.0488	2.1856	0.000420	28.77
0.0489	0.0624	2.4503	0.000410	27.60
0.0549	0.0780	2.7135	0.000400	26.48
0.0611	0.0955	2.9752	0.000390	25.41
0.0673	0.1150	3.2356	0.000380	24.38
0.0738	0.1365	3.4947	0.000370	23.38
0.0803	0.1602	3.7526	0.000360	22.43
0.0870	0.1861	4.0093	0.000350	21.51
0.0938	0.2144	4.2651	0.000340	20.62
0.1008	0.2449	4.5199	0.000330	19.76
0.1079	0.2780	4.7738	0.000320	18.94
0.1151	0.3136	5.0270	0.000310	18.14
0.1226	0.3519	5.2795	0.000300	17.37
0.1301	0.3929	5.5314	0.000290	16.63
0.1379	0.4368	5.7828	0.000280	15.91
0.1458	0.4836	6.0337	0.000270	15.21
0.1539	0.5336	6.2844	0.000260	14.54
0.1622	0.5867	6.5348	0.000250	13.89
0.1707	0.6433	6.7850	0.000240	13.25
0.1794	0.7033	7.0352	0.000230	12.64
0.1883	0.7670	7.2854	0.000220	12.05
0.1974	0.8345	7.5358	0.000210	11.47
0.2067	0.9060	7.7865	0.000200	10.92
0.2163	0.9817	8.0375	0.000190	10.38
0.2261	1.0619	8.2890	0.000180	9.85
0.2362	1.1467	8.5411	0.000170	9.34
0.2466	1.2364	8.7940	0.000160	8.84
0.2572	1.3312	9.0476	0.000150	8.36
0.2681	1.4316	9.3023	0.000140	7.89
0.2794	1.5377	9.5581	0.000130	7.44
0.2910	1.6500	9.8152	0.000120	7.00
0.3029	1.7689	10.0737	0.000110	6.57
0.3153	1.8948	10.3338	0.000100	6.15
0.3280	2.0283	10.5958	0.000090	5.74
0.3412	2.1700	10.8596	0.000080	5.34
0.3549	2.3204	11.1256	0.000070	4.95
0.3691	2.4804	11.3940	0.000060	4.57
0.3839	2.6509	11.6648	0.000050	4.21
0.3993	2.8329	11.9384	0.000040	3.85
0.4155	3.0277	12.2148	0.000030	3.50
0.4324	3.2366	12.4942	0.000020	3.15
0.4502	3.4616	12.7767	0.000010	2.82
0.4690	3.7049	12.9837	0.000000	0.00
0.4790	3.8342	12.8820	0.000000	0.00
0.4890	3.9625	12.7804	0.000000	0.00
0.4990	4.0898	12.6788	0.000000	0.00
0.5090	4.2161	12.5773	0.000000	0.00
0.5190	4.3414	12.4758	0.000000	0.00
0.5290	4.4656	12.3744	0.000000	0.00
0.5390	4.5888	12.2730	0.000000	0.00
0.5490	4.7111	12.1717	0.000000	0.00
0.5590	4.8323	12.0705	0.000000	0.00
0.5690	4.9525	11.9693	0.000000	0.00
0.5790	5.0717	11.8681	0.000000	0.00
0.5890	5.1898	11.7671	0.000000	0.00
0.5990	5.3070	11.6660	0.000000	0.00
0.6090	5.4232	11.5650	0.000000	0.00
0.6190	5.5383	11.4641	0.000000	0.00
0.6290	5.6524	11.3632	0.000000	0.00
0.6390	5.7656	11.2623	0.000000	0.00
0.6490	5.8777	11.1615	0.000000	0.00
0.6590	5.9888	11.0608	0.000000	0.00
0.6690	6.0989	10.9601	0.000000	0.00
0.6790	6.2080	10.8594	0.000000	0.00
0.6890	6.3161	10.7588	0.000000	0.00
0.6990	6.4232	10.6583	0.000000	0.00
0.7090	6.5293	10.5578	0.000000	0.00
0.7190	6.6343	10.4573	0.000000	0.00
0.7290	6.7384	10.3569	0.000000	0.00
0.7390	6.8415	10.2565	0.000000	0.00
0.7490	6.9435	10.1562	0.000000	0.00
0.7590	7.0446	10.0559	0.000000	0.00
0.7690	7.1447	9.9556	0.000000	0.00
0.7790	7.2437	9.8554	0.000000	0.00
0.7890	7.3418	9.7553	0.000000	0.00
0.7990	7.4388	9.6552	0.000000	0.00
0.8090	7.5349	9.5551	0.000000	0.00
0.8190	7.6299	9.4550	0.000000	0.00
0.8290	7.7240	9.3550	0.000000	0.00
0.8390	7.8170	9.2551	0.000000	0.00
0.8490	7.9091	9.1552	0.000000	0.00
0.8590	8.0001	9.0553	0.000000	0.00
0.8690	8.0902	8.9555	0.000000	0.00
0.8790	8.1792	8.8557	0.000000	0.00
0.8890	8.2673	8.7559	0.000000	0.00
0.8990	8.3543	8.6562	0.000000	0.00
0.9090	8.4404	8.5565	0.000000	0.00
0.9190	8.5255	8.4568	0.000000	0.00
0.9290	8.6095	8.3572	0.000000	0.00
0.9390	8.6926	8.2576	0.000000	0.00
0.9490	8.7747	8.1581	0.000000	0.00
0.9590	8.8558	8.0586	0.000000	0.00
0.9690	8.9359	7.9591	0.000000	0.00
0.9790	9.0150	7.8597	0.000000	0.00
0.9890	9.0931	7.7603	0.000000	0.00
0.9990	9.1702	7.6609	0.000000	0.00
1.0090	9.2463	7.5615	0.000000	0.00
1.0190	9.3214	7.4622	0.000000	0.00
1.0290	9.3955	7.3630	0.000000	0.00
1.0390	9.4687	7.2637	0.000000	0.00
1.0490	9.5408	7.1645	0.000000	0.00
1.0590	9.6119	7.0653	0.000000	0.00
1.0690	9.6821	6.9661	0.000000	0.00
1.0790	9.7513	6.8670	0.000000	0.00
1.0890	9.8194	6.7679	0.000000	0.00
1.0990	9.8866	6.6689	0.000000	0.00
1.1090	9.9528	6.5698	0.000000	0.00
1.1190	10.0180	6.4708	0.000000	0.00
1.1290	10.0822	6.3718	0.000000	0.00
1.1390	10.1455	6.2729	0.000000	0.00
1.1490	10.2077	6.1739	0.000000	0.00
1.1590	10.2689	6.0750	0.000000	0.00
1.1690	10.3292	5.9762	0.000000	0.00
1.1790	10.3885	5.8773	0.000000	0.00
1.1890	10.4467	5.7785	0.000000	0.00
1.1990	10.5040	5.6797	0.000000	0.00
1.2090	10.5603	5.5809	0.000000	0.00
1.2190	10.6157	5.4821	0.000000	0.00
1.2290	10.6700	5.3834	0.000000	0.00
1.2390	10.7233	5.2847	0.000000	0.00
1.2490	10.7757	5.1860	0.000000	0.00
1.2590	10.8270	5.0873	0.000000	0.00
