t(s),h(m),v(m/s),Vw(m3)
0.0000,0.0000,0.0000,0.000500
0.0003,0.0000,0.0141,0.000500
0.0005,0.0000,0.0283,0.000499
0.0008,0.0000,0.0424,0.000499
0.0010,0.0000,0.0565,0.000498
0.0013,0.0000,0.0706,0.000498
0.0015,0.0001,0.0847,0.000497
0.0018,0.0001,0.0988,0.000497
0.0020,0.0001,0.1129,0.000496
0.0023,0.0001,0.1270,0.000496
0.0025,0.0002,0.1411,0.000495
0.0028,0.0002,0.1551,0.000495
0.0030,0.0003,0.1692,0.000494
0.0033,0.0003,0.1832,0.000494
0.0035,0.0004,0.1973,0.000493
0.0038,0.0004,0.2113,0.000493
0.0040,0.0005,0.2254,0.000492
0.0043,0.0005,0.2394,0.000492
0.0046,0.0006,0.2534,0.000491
0.0048,0.0006,0.2675,0.000491
0.0051,0.0007,0.2815,0.000490
0.0053,0.0008,0.2955,0.000490
0.0056,0.0009,0.3095,0.000489
0.0058,0.0009,0.3235,0.000489
0.0061,0.0010,0.3375,0.000488
0.0064,0.0011,0.3515,0.000488
0.0066,0.0012,0.3655,0.000487
0.0069,0.0013,0.3794,0.000487
0.0071,0.0014,0.3934,0.000486
0.0074,0.0015,0.4074,0.000486
0.0076,0.0016,0.4213,0.000485
0.0079,0.0017,0.4353,0.000485
0.0082,0.0018,0.4492,0.000484
0.0084,0.0020,0.4632,0.000484
0.0087,0.0021,0.4771,0.000483
0.0089,0.0022,0.4910,0.000483
0.0092,0.0023,0.5049,0.000482
0.0095,0.0025,0.5189,0.000482
0.0097,0.0026,0.5328,0.000481
0.0100,0.0028,0.5467,0.000481
0.0102,0.0029,0.5606,0.000480
0.0105,0.0030,0.5745,0.000480
0.0108,0.0032,0.5883,0.000479
0.0110,0.0034,0.6022,0.000479
0.0113,0.0035,0.6161,0.000478
0.0116,0.0037,0.6300,0.000478
0.0118,0.0038,0.6438,0.000477
0.0121,0.0040,0.6577,0.000477
0.0123,0.0042,0.6715,0.000476
0.0126,0.0044,0.6854,0.000476
0.0129,0.0046,0.6992,0.000475
0.0131,0.0047,0.7131,0.000475
0.0134,0.0049,0.7269,0.000474
0.0137,0.0051,0.7407,0.000474
0.0139,0.0053,0.7546,0.000473
0.0142,0.0055,0.7684,0.000473
0.0145,0.0057,0.7822,0.000472
0.0147,0.0059,0.7960,0.000472
0.0150,0.0062,0.8098,0.000471
0.0153,0.0064,0.8236,0.000471
0.0155,0.0066,0.8374,0.000470
0.0158,0.0068,0.8511,0.000470
0.0161,0.0071,0.8649,0.000469
0.0163,0.0073,0.8787,0.000469
0.0166,0.0075,0.8924,0.000468
0.0169,0.0078,0.9062,0.000468
0.0171,0.0080,0.9200,0.000467
0.0174,0.0083,0.9337,0.000467
0.0177,0.0085,0.9475,0.000466
0.0179,0.0088,0.9612,0.000466
0.0182,0.0090,0.9749,0.000465
0.0185,0.0093,0.9887,0.000465
0.0188,0.0096,1.0024,0.000464
0.0190,0.0098,1.0161,0.000464
0.0193,0.0101,1.0298,0.000463
0.0196,0.0104,1.0435,0.000463
0.0198,0.0107,1.0572,0.000462
0.0201,0.0110,1.0709,0.000462
0.0204,0.0113,1.0846,0.000461
0.0206,0.0116,1.0983,0.000461
0.0209,0.0119,1.1120,0.000460
0.0212,0.0122,1.1256,0.000460
0.0215,0.0125,1.1393,0.000459
0.0217,0.0128,1.1530,0.000459
0.0220,0.0131,1.1666,0.000458
0.0223,0.0134,1.1803,0.000458
0.0226,0.0138,1.1939,0.000457
0.0228,0.0141,1.2076,0.000457
0.0231,0.0144,1.2212,0.000456
0.0234,0.0148,1.2349,0.000456
0.0237,0.0151,1.2485,0.000455
0.0239,0.0154,1.2621,0.000455
0.0242,0.0158,1.2757,0.000454
0.0245,0.0161,1.2894,0.000454
0.0248,0.0165,1.3030,0.000453
0.0250,0.0169,1.3166,0.000453
0.0253,0.0172,1.3302,0.000452
0.0256,0.0176,1.3438,0.000452
0.0259,0.0180,1.3574,0.000451
0.0262,0.0184,1.3709,0.000451
0.0264,0.0187,1.3845,0.000450
0.0267,0.0191,1.3981,0.000450
0.0270,0.0195,1.4117,0.000449
0.0273,0.0199,1.4252,0.000449
0.0275,0.0203,1.4388,0.000448
0.0278,0.0207,1.4523,0.000448
0.0281,0.0211,1.4659,0.000447
0.0284,0.0215,1.4794,0.000447
0.0287,0.0220,1.4930,0.000446
0.0289,0.0224,1.5065,0.000446
0.0292,0.0228,1.5201,0.000445
0.0295,0.0232,1.5336,0.000445
0.0298,0.0237,1.5471,0.000444
0.0301,0.0241,1.5606,0.000444
0.0304,0.0245,1.5741,0.000443
0.0306,0.0250,1.5876,0.000443
0.0309,0.0254,1.6011,0.000442
0.0312,0.0259,1.6146,0.000442
0.0315,0.0264,1.6281,0.000441
0.0318,0.0268,1.6416,0.000441
0.0321,0.0273,1.6551,0.000440
0.0323,0.0278,1.6686,0.000440
0.0326,0.0282,1.6821,0.000439
0.0329,0.0287,1.6955,0.000439
0.0332,0.0292,1.7090,0.000438
0.0335,0.0297,1.7225,0.000438
0.0338,0.0302,1.7359,0.000437
0.0341,0.0307,1.7494,0.000437
0.0343,0.0312,1.7628,0.000436
0.0346,0.0317,1.7763,0.000436
0.0349,0.0322,1.7897,0.000435
0.0352,0.0327,1.8031,0.000435
0.0355,0.0332,1.8166,0.000434
0.0358,0.0338,1.8300,0.000434
0.0361,0.0343,1.8434,0.000433
0.0364,0.0348,1.8568,0.000433
0.0366,0.0354,1.8702,0.000432
0.0369,0.0359,1.8836,0.000432
0.0372,0.0365,1.8970,0.000431
0.0375,0.0370,1.9104,0.000431
0.0378,0.0376,1.9238,0.000430
0.0381,0.0381,1.9372,0.000430
0.0384,0.0387,1.9506,0.000429
0.0387,0.0393,1.9640,0.000429
0.0390,0.0398,1.9774,0.000428
0.0393,0.0404,1.9907,0.000428
0.0395,0.0410,2.0041,0.000427
0.0398,0.0416,2.0175,0.000427
0.0401,0.0422,2.0308,0.000426
0.0404,0.0428,2.0442,0.000426
0.0407,0.0434,2.0575,0.000425
0.0410,0.0440,2.0709,0.000425
0.0413,0.0446,2.0842,0.000424
0.0416,0.0452,2.0976,0.000424
0.0419,0.0458,2.1109,0.000423
0.0422,0.0464,2.1242,0.000423
0.0425,0.0471,2.1376,0.000422
0.0428,0.0477,2.1509,0.000422
0.0431,0.0483,2.1642,0.000421
0.0434,0.0490,2.1775,0.000421
0.0437,0.0496,2.1908,0.000420
0.0440,0.0503,2.2041,0.000420
0.0443,0.0509,2.2174,0.000419
0.0445,0.0516,2.2307,0.000419
0.0448,0.0523,2.2440,0.000418
0.0451,0.0529,2.2573,0.000418
0.0454,0.0536,2.2706,0.000417
0.0457,0.0543,2.2839,0.000417
0.0460,0.0550,2.2971,0.000416
0.0463,0.0557,2.3104,0.000416
0.0466,0.0563,2.3237,0.000415
0.0469,0.0570,2.3369,0.000415
0.0472,0.0577,2.3502,0.000414
0.0475,0.0585,2.3634,0.000414
0.0478,0.0592,2.3767,0.000413
0.0481,0.0599,2.3899,0.000413
0.0484,0.0606,2.4032,0.000412
0.0487,0.0613,2.4164,0.000412
0.0490,0.0621,2.4297,0.000411
0.0493,0.0628,2.4429,0.000411
0.0496,0.0635,2.4561,0.000410
0.0499,0.0643,2.4693,0.000410
0.0502,0.0650,2.4826,0.000409
0.0506,0.0658,2.4958,0.000409
0.0509,0.0665,2.5090,0.000408
0.0512,0.0673,2.5222,0.000408
0.0515,0.0681,2.5354,0.000407
0.0518,0.0689,2.5486,0.000407
0.0521,0.0696,2.5618,0.000406
0.0524,0.0704,2.5750,0.000406
0.0527,0.0712,2.5882,0.000405
0.0530,0.0720,2.6014,0.000405
0.0533,0.0728,2.6145,0.000404
0.0536,0.0736,2.6277,0.000404
0.0539,0.0744,2.6409,0.000403
0.0542,0.0752,2.6541,0.000403
0.0545,0.0760,2.6672,0.000402
0.0548,0.0769,2.6804,0.000402
0.0551,0.0777,2.6936,0.000401
0.0554,0.0785,2.7067,0.000401
0.0558,0.0793,2.7199,0.000400
0.0561,0.0802,2.7330,0.000400
0.0564,0.0810,2.7462,0.000399
0.0567,0.0819,2.7593,0.000399
0.0570,0.0827,2.7724,0.000398
0.0573,0.0836,2.7856,0.000398
0.0576,0.0845,2.7987,0.000397
0.0579,0.0853,2.8118,0.000397
0.0582,0.0862,2.8249,0.000396
0.0585,0.0871,2.8381,0.000396
0.0589,0.0880,2.8512,0.000395
0.0592,0.0889,2.8643,0.000395
0.0595,0.0898,2.8774,0.000394
0.0598,0.0907,2.8905,0.000394
0.0601,0.0916,2.9036,0.000393
0.0604,0.0925,2.9167,0.000393
0.0607,0.0934,2.9298,0.000392
0.0610,0.0943,2.9429,0.000392
0.0614,0.0953,2.9560,0.000391
0.0617,0.0962,2.9691,0.000391
0.0620,0.0971,2.9821,0.000390
0.0623,0.0981,2.9952,0.000390
0.0626,0.0990,3.0083,0.000389
0.0629,0.1000,3.0214,0.000389
0.0632,0.1009,3.0344,0.000388
0.0636,0.1019,3.0475,0.000388
0.0639,0.1029,3.0605,0.000387
0.0642,0.1038,3.0736,0.000387
0.0645,0.1048,3.0867,0.000386
0.0648,0.1058,3.0997,0.000386
0.0652,0.1068,3.1128,0.000385
0.0655,0.1078,3.1258,0.000385
0.0658,0.1088,3.1388,0.000384
0.0661,0.1098,3.1519,0.000384
0.0664,0.1108,3.1649,0.000383
0.0667,0.1118,3.1779,0.000383
0.0671,0.1128,3.1910,0.000382
0.0674,0.1138,3.2040,0.000382
0.0677,0.1149,3.2170,0.000381
0.0680,0.1159,3.2300,0.000381
0.0684,0.1170,3.2430,0.000380
0.0687,0.1180,3.2560,0.000380
0.0690,0.1191,3.2691,0.000379
0.0693,0.1201,3.2821,0.000379
0.0696,0.1212,3.2951,0.000378
0.0700,0.1222,3.3081,0.000378
0.0703,0.1233,3.3211,0.000377
0.0706,0.1244,3.3340,0.000377
0.0709,0.1255,3.3470,0.000376
0.0713,0.1266,3.3600,0.000376
0.0716,0.1276,3.3730,0.000375
0.0719,0.1287,3.3860,0.000375
0.0722,0.1299,3.3990,0.000374
0.0726,0.1310,3.4119,0.000374
0.0729,0.1321,3.4249,0.000373
0.0732,0.1332,3.4379,0.000373
0.0735,0.1343,3.4508,0.000372
0.0739,0.1355,3.4638,0.000372
0.0742,0.1366,3.4767,0.000371
0.0745,0.1377,3.4897,0.000371
0.0749,0.1389,3.5026,0.000370
0.0752,0.1400,3.5156,0.000370
0.0755,0.1412,3.5285,0.000369
0.0758,0.1424,3.5415,0.000369
0.0762,0.1435,3.5544,0.000368
0.0765,0.1447,3.5674,0.000368
0.0768,0.1459,3.5803,0.000367
0.0772,0.1471,3.5932,0.000367
0.0775,0.1483,3.6062,0.000366
0.0778,0.1495,3.6191,0.000366
0.0782,0.1507,3.6320,0.000365
0.0785,0.1519,3.6449,0.000365
0.0788,0.1531,3.6578,0.000364
0.0792,0.1543,3.6707,0.000364
0.0795,0.1555,3.6837,0.000363
0.0798,0.1568,3.6966,0.000363
0.0802,0.1580,3.7095,0.000362
0.0805,0.1592,3.7224,0.000362
0.0808,0.1605,3.7353,0.000361
0.0812,0.1617,3.7482,0.000361
0.0815,0.1630,3.7611,0.000360
0.0818,0.1643,3.7740,0.000360
0.0822,0.1655,3.7868,0.000359
0.0825,0.1668,3.7997,0.000359
0.0828,0.1681,3.8126,0.000358
0.0832,0.1694,3.8255,0.000358
0.0835,0.1707,3.8384,0.000357
0.0838,0.1720,3.8512,0.000357
0.0842,0.1733,3.8641,0.000356
0.0845,0.1746,3.8770,0.000356
0.0849,0.1759,3.8899,0.000355
0.0852,0.1772,3.9027,0.000355
0.0855,0.1785,3.9156,0.000354
0.0859,0.1799,3.9284,0.000354
0.0862,0.1812,3.9413,0.000353
0.0866,0.1825,3.9541,0.000353
0.0869,0.1839,3.9670,0.000352
0.0872,0.1853,3.9798,0.000352
0.0876,0.1866,3.9927,0.000351
0.0879,0.1880,4.0055,0.000351
0.0883,0.1894,4.0184,0.000350
0.0886,0.1907,4.0312,0.000350
0.0890,0.1921,4.0440,0.000349
0.0893,0.1935,4.0569,0.000349
0.0896,0.1949,4.0697,0.000348
0.0900,0.1963,4.0825,0.000348
0.0903,0.1977,4.0954,0.000347
0.0907,0.1991,4.1082,0.000347
0.0910,0.2006,4.1210,0.000346
0.0914,0.2020,4.1338,0.000346
0.0917,0.2034,4.1466,0.000345
0.0921,0.2048,4.1595,0.000345
0.0924,0.2063,4.1723,0.000344
0.0928,0.2077,4.1851,0.000344
0.0931,0.2092,4.1979,0.000343
0.0934,0.2107,4.2107,0.000343
0.0938,0.2121,4.2235,0.000342
0.0941,0.2136,4.2363,0.000342
0.0945,0.2151,4.2491,0.000341
0.0948,0.2166,4.2619,0.000341
0.0952,0.2181,4.2747,0.000340
0.0955,0.2196,4.2875,0.000340
0.0959,0.2211,4.3002,0.000339
0.0962,0.2226,4.3130,0.000339
0.0966,0.2241,4.3258,0.000338
0.0969,0.2256,4.3386,0.000338
0.0973,0.2271,4.3514,0.000337
0.0976,0.2287,4.3642,0.000337
0.0980,0.2302,4.3769,0.000336
0.0984,0.2318,4.3897,0.000336
0.0987,0.2333,4.4025,0.000335
0.0991,0.2349,4.4152,0.000335
0.0994,0.2364,4.4280,0.000334
0.0998,0.2380,4.4408,0.000334
0.1001,0.2396,4.4535,0.000333
0.1005,0.2412,4.4663,0.000333
0.1008,0.2428,4.4790,0.000332
0.1012,0.2444,4.4918,0.000332
0.1015,0.2460,4.5045,0.000331
0.1019,0.2476,4.5173,0.000331
0.1023,0.2492,4.5300,0.000330
0.1026,0.2508,4.5428,0.000330
0.1030,0.2524,4.5555,0.000329
0.1033,0.2541,4.5683,0.000329
0.1037,0.2557,4.5810,0.000328
0.1040,0.2574,4.5938,0.000328
0.1044,0.2590,4.6065,0.000327
0.1048,0.2607,4.6192,0.000327
0.1051,0.2623,4.6320,0.000326
0.1055,0.2640,4.6447,0.000326
0.1058,0.2657,4.6574,0.000325
0.1062,0.2674,4.6701,0.000325
0.1066,0.2691,4.6829,0.000324
0.1069,0.2708,4.6956,0.000324
0.1073,0.2725,4.7083,0.000323
0.1077,0.2742,4.7210,0.000323
0.1080,0.2759,4.7337,0.000322
0.1084,0.2776,4.7464,0.000322
0.1088,0.2793,4.7592,0.000321
0.1091,0.2811,4.7719,0.000321
0.1095,0.2828,4.7846,0.000320
0.1098,0.2846,4.7973,0.000320
0.1102,0.2863,4.8100,0.000319
0.1106,0.2881,4.8227,0.000319
0.1109,0.2899,4.8354,0.000318
0.1113,0.2916,4.8481,0.000318
0.1117,0.2934,4.8608,0.000317
0.1120,0.2952,4.8735,0.000317
0.1124,0.2970,4.8862,0.000316
0.1128,0.2988,4.8989,0.000316
0.1131,0.3006,4.9116,0.000315
0.1135,0.3024,4.9242,0.000315
0.1139,0.3042,4.9369,0.000314
0.1143,0.3061,4.9496,0.000314
0.1146,0.3079,4.9623,0.000313
0.1150,0.3097,4.9750,0.000313
0.1154,0.3116,4.9877,0.000312
0.1157,0.3134,5.0003,0.000312
0.1161,0.3153,5.0130,0.000311
0.1165,0.3172,5.0257,0.000311
0.1169,0.3191,5.0384,0.000310
0.1172,0.3209,5.0510,0.000310
0.1176,0.3228,5.0637,0.000309
0.1180,0.3247,5.0764,0.000309
0.1184,0.3266,5.0890,0.000308
0.1187,0.3285,5.1017,0.000308
0.1191,0.3304,5.1144,0.000307
0.1195,0.3324,5.1270,0.000307
0.1199,0.3343,5.1397,0.000306
0.1202,0.3362,5.1524,0.000306
0.1206,0.3382,5.1650,0.000305
0.1210,0.3401,5.1777,0.000305
0.1214,0.3421,5.1903,0.000304
0.1217,0.3440,5.2030,0.000304
0.1221,0.3460,5.2156,0.000303
0.1225,0.3480,5.2283,0.000303
0.1229,0.3500,5.2409,0.000302
0.1233,0.3520,5.2536,0.000302
0.1236,0.3540,5.2662,0.000301
0.1240,0.3560,5.2789,0.000301
0.1244,0.3580,5.2915,0.000300
0.1248,0.3600,5.3042,0.000300
0.1252,0.3620,5.3168,0.000299
0.1255,0.3641,5.3294,0.000299
0.1259,0.3661,5.3421,0.000298
0.1263,0.3682,5.3547,0.000298
0.1267,0.3702,5.3673,0.000297
0.1271,0.3723,5.3800,0.000297
0.1275,0.3743,5.3926,0.000296
0.1278,0.3764,5.4052,0.000296
0.1282,0.3785,5.4179,0.000295
0.1286,0.3806,5.4305,0.000295
0.1290,0.3827,5.4431,0.000294
0.1294,0.3848,5.4557,0.000294
0.1298,0.3869,5.4684,0.000293
0.1302,0.3890,5.4810,0.000293
0.1305,0.3912,5.4936,0.000292
0.1309,0.3933,5.5062,0.000292
0.1313,0.3954,5.5189,0.000291
0.1317,0.3976,5.5315,0.000291
0.1321,0.3997,5.5441,0.000290
0.1325,0.4019,5.5567,0.000290
0.1329,0.4041,5.5693,0.000289
0.1333,0.4062,5.5819,0.000289
0.1337,0.4084,5.5945,0.000288
0.1341,0.4106,5.6072,0.000288
0.1344,0.4128,5.6198,0.000287
0.1348,0.4150,5.6324,0.000287
0.1352,0.4172,5.6450,0.000286
0.1356,0.4195,5.6576,0.000286
0.1360,0.4217,5.6702,0.000285
0.1364,0.4239,5.6828,0.000285
0.1368,0.4262,5.6954,0.000284
0.1372,0.4284,5.7080,0.000284
0.1376,0.4307,5.7206,0.000283
